"","Estimate","Std.err.","t-ratio(0)","p(2-sided)","Rob.std.err.","Rob.t-ratio(0)","Rob.p-val(0)"
"m_ascC",0.889743188787105,0.0707261847093931,12.5801100744084,0,0.076863230744268,11.5756673271694,0
"s_ascC",1.36204889263591,0.0679043518996207,20.0583446352504,0,0.0712699107397079,19.1111350989394,0
"m_ascA",0.263747797986331,0.0469863855906701,5.61328126585465,1.98525509365055e-08,0.0483883376870994,5.45064804027454,5.01866057600608e-08
"s_ascA",0.508427641258691,0.0725605822543011,7.00693993161216,2.43582931602759e-12,0.0715525953535866,7.10564919058811,1.19748655436069e-12
"ascB",0,NA,NA,NA,NA,NA,NA
"m_b_TC",-1.64745432414434,0.12402786241961,-13.2829373336347,0,0.170147481366897,-9.68250785089118,0
"s_b_TC",1.87069654790127,0.147570295653777,12.6766470149943,0,0.25352627114377,7.37870887881452,1.59872115546023e-13
"g_TC",1,NA,NA,NA,NA,NA,NA
"m_g_TT",-2.01185083150884,0.130098726139211,-15.4640317489049,0,0.27187515412294,-7.39990690947469,1.36335387423969e-13
"s_g_TT",1.34624884090084,0.0475706846076695,28.2999677638399,0,0.0594477488659686,22.6459179124866,0
"m_g_WT",-3.41978908302807,0.209150331346406,-16.3508661975966,0,0.370978068804154,-9.21830526007036,0
"s_g_WT",0.729438580158582,0.0910526965673963,8.0111694398711,1.11022302462516e-15,0.167552216732059,4.353500027547,1.33981078596079e-05
"m_g_IN",-1.50444760296827,0.14725072049532,-10.2169116586162,0,0.307236889007378,-4.89670237134884,9.74582758495046e-07
"s_g_IN",1.79624435596848,0.0466968108181555,38.4661034554015,0,0.0281033496939344,63.9156675460707,0
"bw_sat_work",-0.00841373086495046,0.091098399042909,-0.092358712703474,0.926413041660817,0.0768763633329821,-0.109444964618152,0.912849571313141
"bt_sat_comm",-0.015612316407711,0.0280397011455386,-0.556793252776699,0.577668694340667,0.0296460892147653,-0.526623133817435,0.598455323753027
"s_TTWT",1.32107286322132,0.0875025608530443,15.0975337217844,0,0.110078321083623,12.0012083234604,0
