"","AGE1","AGE2_18_29","AGE2_30_44","AGE2_45_59","AGE2_60_UP","GEND_Male","GEND_Female","RACE_White","RACE_Other","EDUC_L_HS","EDUC_Bach","EDUC_Mast","HHADULTS","HHKIDS","HHWORKERS","HHINC_000_050","HHINC_050_100","HHINC_100__UP","PLACETYPE_Urban","PLACETYPE_Sub_Urban","PLACETYPE_Suburban","PLACETYPE_Rural_all","WDAYS","CDAYS","COMMUTE_YesCurrently","COMMUTE_NoUsedTo","MODE_AutoD","MODE_AutoP","MODE_Transit","MODE_Walk","MODE_Bike","PARKCOST_Yes","PARKCOST_No","TOLLCOST_Yes","TOLLCOST_No","TIMEDEP_Morning","TIMEDEP_AfterEveNight","FLEXWORK_Yes","FLEXWORK_No","FLEXINC_Yes","FLEXINC_No","PRIMWORK_Yes","PRIMWORK_No","IMP_TT","IMP_TC","IMP_WT","IMP_IN","SAT_WORK","SAT_COMM","ENJOYWC_Work","ENJOYWC_Comm","IDEALTT_00___","IDEALTT_01_05","IDEALTT_06_15","IDEALTT_15_UP"
"AGE1",1,-0.639120394645244,-0.168823478571391,0.432519465279006,0.645260933675067,0.101559704832396,-0.101559704832396,0.149997481841814,-0.149997481841814,-0.0756470906440708,-0.0155142677229312,0.0869102125485373,-0.13401727103318,-0.163085509338308,-0.16838470901831,-0.0958024522099181,0.00860130355976726,0.0887381594502216,-0.14251958166739,-0.0187221446718873,0.133202504238535,0.0453805661493754,-0.0336289138687294,0.00359314508884934,-0.0435562053796072,0.0435562053796072,0.161866413578017,-0.0552971411716737,-0.0931158603485829,-0.0600222297076437,-0.119936376883069,-0.0823053577810616,0.0823053577810616,-0.0280907733883726,0.0280907733883726,0.0242411439828082,-0.0242411439828082,-0.182023050435139,0.182023050435139,-0.129200052493278,0.129200052493278,0.156442380998618,-0.156442380998618,0.00392797599950694,-0.089146592017593,-0.0326825379206131,-0.0242459424146568,0.0883913374229481,0.0836777206698307,0.0521156174914305,-0.0521156174914305,0.0693776239929835,0.00404311773024849,-0.0262476017171854,-0.0215746961728826
"AGE2_18_29",-0.639120394645244,1,-0.534910803878845,-0.271110998409327,-0.174966314244684,-0.15682435759583,0.15682435759583,-0.18851168917416,0.18851168917416,0.183681915944835,0.0340583678381107,-0.207231197314664,0.133338142430538,-0.17519847989224,0.201202836347892,0.18556302379138,0.0603933272111097,-0.252728255712682,-0.0672782374759714,0.0659216369810895,-0.0279119358855539,0.0633332714141922,-0.0860475708057117,-0.0589835235251054,-0.0232051292278805,0.0232051292278805,-0.110489099483635,-0.0103683793775628,0.115421061956307,0.035739890592647,0.0764194635717902,-0.00682883466464239,0.00682883466464239,-0.0743060183013554,0.0743060183013554,-0.0539595208781273,0.0539595208781273,0.0601847025968273,-0.0601847025968273,0.152996978489192,-0.152996978489192,-0.208134452031005,0.208134452031005,-0.160396480643258,-0.0874479725642982,-0.0651624441831617,-0.0815644284829714,-0.167632872194023,-0.149294050428599,-0.0639700317008863,0.0639700317008863,0.0106321053204528,0.0662551541690332,0.0285511632369971,-0.117330208424396
"AGE2_30_44",-0.168823478571391,-0.534910803878845,1,-0.470631599266398,-0.303730489629188,0.10967032967033,-0.10967032967033,0.142296094693398,-0.142296094693398,-0.188292092726201,-0.0318565743391028,0.209217845830286,-0.0584187124265277,0.399847129460915,-0.115673050757318,-0.179488077844953,-0.0853475582402771,0.272712189658887,0.241866620741415,-0.0726359003934971,-0.112880357042871,-0.118084731537421,0.139104368050936,0.047183833013075,0.0536258708861907,-0.0536258708861907,-0.0223885896782213,0.0557687533136061,-0.0377324469491419,0.0235006552526471,0.0045448911641127,0.101140057819635,-0.101140057819635,0.148760507169493,-0.148760507169493,0.0497178339495802,-0.0497178339495802,0.1256189183371,-0.1256189183371,-0.0698139077562936,0.0698139077562936,0.110949080280889,-0.110949080280889,0.222031200317088,0.230730596351697,0.161717239195255,0.180688618153776,0.151252272098597,0.121846321550043,0.0567760773941898,-0.0567760773941898,-0.050936025483342,-0.0743388148507316,-0.0551284986792821,0.190312944730952
"AGE2_45_59",0.432519465279006,-0.271110998409327,-0.470631599266398,1,-0.153940948086316,-0.00306328259877537,0.00306328259877537,-0.0214974576618889,0.0214974576618889,0.0385548674285334,0.00671808922545701,-0.0430448347484067,0.00245054041825707,-0.12951983223165,0.00665171482396188,0.0355224438269877,0.0237048616967085,-0.061121723419596,-0.118628191493639,0.00991155472397023,0.114423212531058,0.00783368591153436,0.00369461932294193,0.0485858588766125,0.00806888919992891,-0.00806888919992891,0.0783240403512755,-0.00903220928215153,-0.0493360784674564,-0.0473302816614865,-0.0598911431176262,-0.0626165573274152,0.0626165573274152,-0.0675468482316502,0.0675468482316502,0.00497163346054775,-0.00497163346054775,-0.110372845469773,0.110372845469773,-0.0674640321075322,0.0674640321075322,0.0400808037791877,-0.0400808037791877,-0.0786157535757688,-0.137690692715143,-0.103726602142923,-0.108797896269225,-0.0163201524387215,0.00378558350108545,-0.00149485964218743,0.00149485964218743,0.00586729796973758,0.0156769772470146,0.0336739133210272,-0.0650977132226328
"AGE2_60_UP",0.645260933675067,-0.174966314244684,-0.303730489629188,-0.153940948086316,1,0.0451957096800053,-0.0451957096800053,0.0605907661215368,-0.0605907661215368,0.0032551451134941,-0.00413077236286211,0.00130654341423421,-0.0989093630111378,-0.259380474388224,-0.106268165267579,-0.010701155453931,0.0267487809413255,-0.0171459779994289,-0.158771996883193,0.0153847930490783,0.0806545422521366,0.1012779337806,-0.120146782838254,-0.0617535999555008,-0.0702078126768191,0.0702078126768191,0.0948207090832152,-0.0694207817620941,-0.0372156276954416,-0.02875469727627,-0.0386518165204449,-0.0800302332298058,0.0800302332298058,-0.0563690265472474,0.0563690265472474,-0.0136195096865551,0.0136195096865551,-0.156190085491872,0.156190085491872,-0.0336578529594234,0.0336578529594234,0.0595690960741508,-0.0595690960741508,-0.0414175658442077,-0.0825726177680711,-0.0427211174529869,-0.0445322746084327,0.00696041665486505,0.00341148426030673,-0.00221019048824132,0.00221019048824132,0.0649613211725687,0.00992925694513838,0.00750213914500487,-0.0684739498917495
"GEND_Male",0.101559704832396,-0.15682435759583,0.10967032967033,-0.00306328259877537,0.0451957096800053,1,-1,0.0524903426229142,-0.0524903426229142,-0.164190704857247,-0.0643814684195854,0.22093217090477,0.00189412207526284,0.118890221133948,-0.0399612083651108,-0.231204981630787,-0.0682780465922217,0.307577320736117,0.240081627230409,-0.1033664736369,-0.0759771633942398,-0.13230435889533,0.138970613850887,0.0501714556274401,0.0670323386077383,-0.0670323386077383,-0.0439580846121175,-0.0331258008404126,0.0810846200396454,-0.0068028212573452,0.0445399334083044,0.140827928609619,-0.140827928609619,0.142997388247673,-0.142997388247673,0.0518677943365891,-0.0518677943365891,0.139452618047403,-0.139452618047403,-0.111659373211648,0.111659373211648,0.27147115387877,-0.27147115387877,0.155111434760992,0.130873522815448,0.149449034842511,0.0412076541081,0.151843101286482,0.140017364928503,0.00294940661787999,-0.00294940661787999,-0.00115763694280323,-0.1291831852476,-0.051614331432794,0.209088212821001
"GEND_Female",-0.101559704832396,0.15682435759583,-0.10967032967033,0.00306328259877537,-0.0451957096800053,-1,1,-0.0524903426229142,0.0524903426229142,0.164190704857247,0.0643814684195854,-0.22093217090477,-0.00189412207526284,-0.118890221133948,0.0399612083651108,0.231204981630787,0.0682780465922217,-0.307577320736117,-0.240081627230409,0.1033664736369,0.0759771633942398,0.13230435889533,-0.138970613850887,-0.0501714556274401,-0.0670323386077383,0.0670323386077383,0.0439580846121175,0.0331258008404126,-0.0810846200396454,0.0068028212573452,-0.0445399334083044,-0.140827928609619,0.140827928609619,-0.142997388247673,0.142997388247673,-0.0518677943365891,0.0518677943365891,-0.139452618047403,0.139452618047403,0.111659373211648,-0.111659373211648,-0.27147115387877,0.27147115387877,-0.155111434760992,-0.130873522815448,-0.149449034842511,-0.0412076541081,-0.151843101286482,-0.140017364928503,-0.00294940661787999,0.00294940661787999,0.00115763694280323,0.1291831852476,0.051614331432794,-0.209088212821001
"RACE_White",0.149997481841814,-0.18851168917416,0.142296094693398,-0.0214974576618889,0.0605907661215368,0.0524903426229142,-0.0524903426229142,1,-1,0.0317816416317752,-0.132644776762581,0.109841311762983,-0.0603151862660315,0.0793728865496634,-0.0606798602986995,-0.0743358245957745,-0.0971614100606624,0.177803646950345,0.0662904887432639,-0.0260563474704352,-0.0847209148635701,0.0426872879109711,0.0174348186120225,-0.00204767298518451,0.0494318813969701,-0.0494318813969701,0.0973737891705096,-0.0223072226504153,-0.127764671241589,0.015764242612804,-0.0096714075762847,0.0527914543408527,-0.0527914543408527,-0.0158189507229455,0.0158189507229455,0.0581373131599829,-0.0581373131599829,-0.004919760441629,0.004919760441629,0.0215701364995527,-0.0215701364995527,0.0194520589383506,-0.0194520589383506,0.0696992109204292,0.0196206213114655,0.0334157033294994,0.0441064354247174,0.102828538031313,0.0439318491166048,-0.0324829781194332,0.0324829781194332,-0.00104826410203266,-0.0108504777627694,-0.00780621378589352,0.0227586816637285
"RACE_Other",-0.149997481841814,0.18851168917416,-0.142296094693398,0.0214974576618889,-0.0605907661215368,-0.0524903426229142,0.0524903426229142,-1,1,-0.0317816416317752,0.132644776762581,-0.109841311762983,0.0603151862660315,-0.0793728865496634,0.0606798602986995,0.0743358245957745,0.0971614100606624,-0.177803646950345,-0.0662904887432639,0.0260563474704352,0.0847209148635701,-0.0426872879109711,-0.0174348186120225,0.00204767298518451,-0.0494318813969701,0.0494318813969701,-0.0973737891705096,0.0223072226504153,0.127764671241589,-0.015764242612804,0.0096714075762847,-0.0527914543408527,0.0527914543408527,0.0158189507229455,-0.0158189507229455,-0.0581373131599829,0.0581373131599829,0.004919760441629,-0.004919760441629,-0.0215701364995527,0.0215701364995527,-0.0194520589383506,0.0194520589383506,-0.0696992109204292,-0.0196206213114655,-0.0334157033294994,-0.0441064354247174,-0.102828538031313,-0.0439318491166048,0.0324829781194332,-0.0324829781194332,0.00104826410203266,0.0108504777627694,0.00780621378589352,-0.0227586816637285
"EDUC_L_HS",-0.0756470906440708,0.183681915944835,-0.188292092726201,0.0385548674285334,0.0032551451134941,-0.164190704857247,0.164190704857247,0.0317816416317752,-0.0317816416317752,1,-0.497692172335679,-0.409790044416322,0.089521103249638,-0.147169219056801,0.0416913135766529,0.361099070454829,-0.0715052464526498,-0.293462222333808,-0.162835151705259,0.00459539327256019,0.059214977533618,0.145129072959236,-0.0381909234689143,0.0547644848268584,0.0883251097329112,-0.0883251097329112,-0.0562890841432261,0.0531672857362338,0.0101794029586831,0.0253472603083108,0.0118369700915418,-0.174878681784937,0.174878681784937,-0.156022827089484,0.156022827089484,-0.0923177049898852,0.0923177049898852,-0.0436143738414161,0.0436143738414161,0.129641948274723,-0.129641948274723,-0.12587483419491,0.12587483419491,-0.167681938072189,-0.145707040680706,-0.150740063150951,-0.0968989955354117,-0.227821724953165,-0.119315132272394,-0.106531669130743,0.106531669130743,0.0539528954156028,0.0603568363140566,0.0450098015649791,-0.164128726143188
