"Var","Mean","SD","Min","PCT5","PCT50","PCT95","Max"
"TTPD",51.597037037037,32.844846893675,10,13.7,45,106.5,240
"TCPD",10.1860296296296,16.1779589205782,0,0,5,38.0009999999999,192.5
"TCPDN0",11.9992495636998,16.9293390889399,0.25,1.076,6.25,43.598,192.5
"WTPDHR",7.79037037037037,1.84689778602539,1.25,5,8,11,14
"INPD",282.791037037037,646.849496916584,5,36.963,150,708.699999999999,9000
"wagerate",38.6012052634598,96.6967722001155,0.967741935483871,5.1762619047619,18.1818181818182,100.4165,1250
